Año,Tipo,Genero,Pais,Cantidad,Innovación
2020,Tecnológico,Masculino,Colombia,10,60
2021,Social,Femenino,México,15,68
2022,Ambiental,Masculino,Argentina,20,76
2023,Educativo,Femenino,Chile,25,84
2024,Salud,Masculino,Perú,30,92
2020,Tecnológico,Femenino,Colombia,10,60
2021,Social,Masculino,México,15,68
2022,Ambiental,Femenino,Argentina,20,76
2023,Educativo,Masculino,Chile,25,84
2024,Salud,Femenino,Perú,30,92
2020,Tecnológico,Masculino,Colombia,10,60
2021,Social,Femenino,México,15,68
2022,Ambiental,Masculino,Argentina,20,76
2023,Educativo,Femenino,Chile,25,84
2024,Salud,Masculino,Perú,30,92
2020,Tecnológico,Femenino,Colombia,10,60
2021,Social,Masculino,México,15,68
2022,Ambiental,Femenino,Argentina,20,76
2023,Educativo,Masculino,Chile,25,84
2024,Salud,Femenino,Perú,30,92
2020,Tecnológico,Masculino,Colombia,10,60
2021,Social,Femenino,México,15,68
2022,Ambiental,Masculino,Argentina,20,76
2023,Educativo,Femenino,Chile,25,84
2024,Salud,Masculino,Perú,30,92
2020,Tecnológico,Femenino,Colombia,10,60
2021,Social,Masculino,México,15,68
2022,Ambiental,Femenino,Argentina,20,76
2023,Educativo,Masculino,Chile,25,84
2024,Salud,Femenino,Perú,30,92
2020,Tecnológico,Masculino,Colombia,10,60
2021,Social,Femenino,México,15,68
2022,Ambiental,Masculino,Argentina,20,76
2023,Educativo,Femenino,Chile,25,84
2024,Salud,Masculino,Perú,30,92
2020,Tecnológico,Femenino,Colombia,10,60
2021,Social,Masculino,México,15,68
2022,Ambiental,Femenino,Argentina,20,76
2023,Educativo,Masculino,Chile,25,84
2024,Salud,Femenino,Perú,30,92
2020,Tecnológico,Masculino,Colombia,10,60
2021,Social,Femenino,México,15,68
2022,Ambiental,Masculino,Argentina,20,76
2023,Educativo,Femenino,Chile,25,84
2024,Salud,Masculino,Perú,30,92
2020,Tecnológico,Femenino,Colombia,10,60
2021,Social,Masculino,México,15,68
2022,Ambiental,Femenino,Argentina,20,76
2023,Educativo,Masculino,Chile,25,84
2024,Salud,Femenino,Perú,30,92
